epoch,train_loss,train_acc,train_elapsed_s,val_acc,val_f1_macro,val_recall_anemia,val_recall_normal,lr
1,0.15370653264852366,0.7038480272771553,58.45267020002939,0.6693227091633466,0.6689864467642246,0.7333333333333333,0.6106870229007634,0.001
2,0.12671009453691276,0.7613248904042864,65.25533020001603,0.7330677290836654,0.7319786437166309,0.7,0.7633587786259542,0.001
3,0.11455317757954786,0.8114953726254263,63.0402008999954,0.7131474103585658,0.7036210968249803,0.5583333333333333,0.8549618320610687,0.001
4,0.10361744004723158,0.8202630297126157,63.503310700005386,0.7211155378486056,0.7205788804071247,0.8,0.648854961832061,0.001
5,0.10242183586692322,0.8309790550414028,63.26470410003094,0.7131474103585658,0.7131428571428571,0.75,0.6793893129770993,0.0005
6,0.07517960557284961,0.8840720896249391,63.92718439997407,0.701195219123506,0.6999760937126465,0.6666666666666666,0.732824427480916,0.0005
7,0.06286295992220198,0.8972235752557234,64.67198760004248,0.7370517928286853,0.73519820971867,0.6833333333333333,0.7862595419847328,0.0005
8,0.05470703954545757,0.9123234291281052,63.478226600040216,0.7131474103585658,0.712375859434683,0.8,0.6335877862595419,0.0005
9,0.05182613597804462,0.913297613248904,64.59049759997288,0.7450199203187251,0.745015873015873,0.7833333333333333,0.7099236641221374,0.0005
10,0.0459638371795082,0.9240136385776911,65.8494319000165,0.7131474103585658,0.7111253196930947,0.6583333333333333,0.7633587786259542,0.0005
11,0.04797848018273689,0.9206039941548952,69.00087560003158,0.7171314741035857,0.7166817697651866,0.7083333333333334,0.7251908396946565,0.0005
12,0.04535802800342834,0.922552362396493,62.92017019999912,0.6972111553784861,0.6971678943357886,0.7416666666666667,0.6564885496183206,0.00025
13,0.03294707585581616,0.9430102289332684,62.14464670000598,0.7091633466135459,0.7089970618597634,0.7166666666666667,0.7022900763358778,0.00025
14,0.029566151343550964,0.9503166098392596,62.13807100005215,0.7211155378486056,0.7195083014048531,0.675,0.7633587786259542,0.00025
15,0.024111460759161568,0.9556746225036532,62.10248630004935,0.7211155378486056,0.7210048272357723,0.775,0.6717557251908397,0.000125
16,0.0232638732529723,0.9629810034096444,62.01842710003257,0.7211155378486056,0.7210756921513843,0.7666666666666667,0.6793893129770993,0.000125
17,0.0201071030072436,0.9668777398928398,62.24056909995852,0.7131474103585658,0.7131064262128524,0.7583333333333333,0.6717557251908397,0.000125
